insight_id,category,title,description
32,"Batch 2","Script 15","To identify GST Invoices which have same document reference no(i.e. Vendor Invoice no) in the same fiscal year (Data for last 1 year to be considered)"
33,"Batch 2","Script 16","The sale value at a non competitive price needs to be identified"
34,"Batch 2","Script 20","To ensure that there is no case of over stocked materials."
35,"Batch 2","Script 21","To ensure that credit term of 45 days in case of new product has not been given twice to same customer for same product."
36,"Batch 2","Script 23","To ensure that Sales order,invoicing & dispatch is made within the defined timelines"
37,"Batch 2","Script 24","GST Query"
38,"Batch 2","Script 28","To identify the recovery% of precious metal sent to jobworker for recovery"
39,"Batch 2","Script 33","Same material billed in different price in a same invoice"
40,"Batch 2","Script 49","1. 3 Way Match - Check if tolerance keys are configured appropriately & capture 3. 3 Way Match - Check if GR & IR configurations over item and account assignment categories are configured appropriately changes made to the values 4. Message type configuration"
41,"Batch 2","Script 53","Objective1 : Identify if the configuration over delivery address is set appropriately. Refer tab 'Delivery Address Field' for details. Objective2 : Identify cases where delivery address defined in purchase order is different from master. Refer tab 'ECC - Analysis & HANA - Analysis' for details."
42,"Batch 2","Script 61","1. Identify if any change to the message configuration is made which restricts creation of credit notes in excess of referred document 2. Anomalies against credit memo request (either greater than referred document or created without any reference)"
43,"Batch 2","Script 63","1. Extract cases wherever over delivery/ under delivery values are changed from original. Refer tab 'A' for details. 2. Extract cases wherever delivery or invoice qty is greater than sales order quantity. Refer tab 'B' for details."
44,"Batch 2","Script 64","Objective1 : Identify if configuration for useful life is set appropriately. Refer tab 'Config' for details. Objective 2 : Capture all changes made to the configuration of useful life field. Refer tab 'Config' for details. Objective 3 : Identify cases where useful life of asset is different from the useful life defined in asset class. Refer tab 'Transaction' for details."
45,"Batch 2","Script 65","1. Check whether price is automatically determined through condition records in sales order and no manual entries is allowed. Refer tab Condition type for details - Objective 1. 2. Provide output of all condition types which are defined as 'Manual Entries'. Refer tab Condition type for details - Objective 2. 3. List of all changes where price change has been carried out while creating sales order. Refer tab Price chng at order creation for details. 4. List of all changes where price change has been carried out in sales order after order creation. Refer tab Price change after saving order for details."
46,"Batch 2","Script 67","Objective 1: To identify the cases where batch picked for delivery & billing is expired. Refer tab 'Logic' for details."
47,"Batch 2","Script 68","Objective1 : Identify condition types which are defined for sale of goods as 'Free' or 100% discount', further check if these are used to make any sales. Refer tab 'Test' for details."
48,"Batch 2","Script 69","1. Identify the limits assigned to users for posting of General ledger entries in SAP ECC. 2. Capture any changes made to table T043 & T043T. Refer tab Logic for details."
49,"Batch 2","Script 73","System does not allow capitalization if capitalization date (Put to use) field in Asset Master is of previous quarter(s). Manual approval of Finance controllers and Head - Accounts is required to give temporary access to specific user to capitalize asset in previous quarter. System automatically calculates depreciation on Fixed Asset Register (Tangible/Intangible) basis depreciation rate / asset useful life included in the asset master defined in the system on depreciation run. System picks up the useful life basis defined depreciation key for respective asset class and manual intervention to change the useful life and depreciation start date is restricted. System restricts depreciation calculation in excess of book value."
50,"Batch 2","Script 85","PO vs GRN Delay"
51,"Batch 2","Script 103","To ensure that material is consumed as per BOM"
52,"Batch 2","Script 105","To ensure that the goods with low shelf life are not received"
53,"Batch 2","Script 106","Sales return Qty in excess of sales qty - Batch Level/same customer"
54,"Batch 2","Script 107","Sales return price vs sales price - same batch/same customer"
55,"Batch 2","Script 108","Expiry date of sales return - More than 2 years or short expiry returns"
56,"Batch 2","Script 112","To highlight Plant locations where abnormal Inventory movements are higher"
57,"Batch 2","Script 113","To highlist instances where there is delay in receipt of sludge or Sludge against which material is received is accounted for in Vendors book & Client books in correct proportion"
58,"Batch 3","Script 34","To identify instances where invoice has been paid in excess of approved purchase order using ""unplanned delivery cost"" feature in system ."
59,"Batch 3","Script 39","Identify instances where vendor name, address,bank account no or PAN no matches with employee.Vendors bank account is in country code other than where his code has been created."
60,"Batch 3","Script 44","To identify instances where disbursement or collections in Bank Account is recorded through non-routine transactions i.e direct payment to vendor without creating masters /Purchase Orders/Service Entry/Invoice Booking."
61,"Batch 4","Script 98","To identify non standard entries posted in the system"
62,"Batch 4","Script 131","Active vendor master for employee account group and match the same with list of employees who had left the organization till date. Transactions and open balances with matching codes needs to be plotted. Map with SAP user access as well"
63,"Batch 1","Script 30","Forecast to Deploy - Precious Metal"
64,"Batch 1","Script 36","Delay in Recovery Process"
65,"Batch 3","Script 40","Duplicate Vendors having balance in two more account codes"
66,"Batch 3","Script 41","Payment released without quality clearance"
67,"Batch 3","Script 99","Access and usage of critical / support IDs (like DDIC, ZSAP, ZSAP1, SAPSUPPORT, SAP* etc.)"
68,"Batch 3","Script 102","Audit logs"
69,"Batch 4","Script 37","To identify instances where 1) payment terms are not updated in master 2) variation in payment term of the same customer across different company codes"
70,"Batch 4","Script 60","Identify Instances where there are differences in the invoicing series, using the combination of Invoice Number and Invoicing party Change in invoice number series , length (length), characters other than numbers and alphabets"
71,"Batch 4","Script 122","Identify vendors recommended for blacklist with balances- dr/credit"
72,"Batch 4","Script 37B","To identify instances where payment terms as per sales invoice is adverse than customer master"
73,"Batch 4","Script 132","released without QA testing. In case of FG, the goods were returned by customer and subsequently written off In case of RM/PM, the FG got scrapped"
74,"Batch 4","Script 58","To identify nature of entries posted through MIRO G/L tab."
75,"Batch 4","Script 121","ECC Sales Return against OTB-SDB price"
76,"Batch 4","Script 46_phase II","Inventory released without QA testing. Further transferred to other plant and subsequently sold"
77,"Batch 4","Script 47_Phase II","Identify cases where WBS code utilised for asset procurement is different than the one used in purchase requisition by user department led to usage of different budget for procurement."
78,"Batch 4","Script 13_Phase II","Identify cases where WBS code utilised for asset procurement is different than the one used in purchase requisition by user department led to usage of different budget for procurement."
79,"Batch 4","Script 35_Phase II","Identify anamolies where POs changed after GRN transactions and whether re-approval worflow triggered for the same"
80,"Batch 5","Script 133","Delay in payment to MSME vendors leading to interest implications as mentioned in company law"
81,"Batch 5","Script 134","Actual Yield Loss vis a vis Standard Yield Loss"
82,"Batch 6","Script 1","Bank Payments without Vendor & Customer"
83,"Batch 6","Script 3","PO Without ref to contract &@higher price than contract price"
84,"Batch 6","Script 5","Invoice Date prior to PO date"
85,"Batch 6","Script 6","Invoice date prior to PO date- with stock position"
86,"Batch 6","Script 7","High Price PO - Minimum & Average price- Part I Price variance for select materials"
87,"Batch 6","Script 8","Mismatch Invoice and PO Vendor"
88,"Batch 6","Script 9","Payment by Creating One Time Vendor Account"
89,"Batch 6","Script 10","Vendor bank information changed for releasing the payment and after payout the original details updated"
90,"Batch 6","Script 11","Excess payment to Vendor with unadjusted advances"
91,"Batch 6","Script 88","Client set to modifiable"
92,"Batch 6","Script 89","Direct changes to SAP"
93,"Batch 6","Script 90","Client Opening"
94,"Batch 6","Script 91","Entry to DEVACCESS table"
95,"Batch 6","Script 92","Usage of DEVACCESS key"
96,"Batch 6","Script 93","Direct changes to SAP"
97,"Batch 6","Script 94","Cases where users have modified there own access (Specially BASIS and SAP Auth cell)"
98,"Batch 6","Script 95","Change management"
99,"Batch 6","Script 96","Changes to crical parameters"
100,"Batch 6","Script 97","Initial password"
101,"Batch 6","Script 98","Non usage accounts"
102,"Batch 6","Script 100","Access to SAP_ALL / NEW profile"
103,"Batch 6","Script 101","BASIS transaction"
104,"Batch 7","Script U1","Multiple Accounting against single Debit Memo and Claim."
105,"Batch 7","Script U2","Multiple Claim & or Accounting Document against single Debit Memo at Header Level"
106,"Batch 7","Script U3","Multiple Debit Memo against Secondary Sales and the same has been processed. Line item level"
107,"Batch 7","Script U4","SSA- Price Validation (Claimed higher than entitled)"
108,"Batch 7","Script U5","SSA - Claim on excess quantity"
109,"Batch 7","Script U6","Material code mapping and duplicate Material codes"
110,"Batch 7","Script U7","Delay in updation of price master"
111,"Batch 7","Script U8","Accrual vs Actual"
112,"Batch 7","Script U9","Customer claim vis-à-vis Claim Amt vis-à-vis FI Doc amount comparison"
113,"Batch 7","Script U10","Delay in Claim Submission from Secondary Sales Date"
114,"Batch 7","Script U11","Time gap analsis from the date of receipt of claim to accounting"
115,"Batch 7","Script U12","Delay in Claim submission date from Sec. Sales Date exceeding 3 days- SSA and Non SSA"
116,"Batch 7","Script U13","Rebate Qty vis-à-vis Claim Qty"
117,"Batch 7","Script U14","Rebate volumes exceeding secondary sales volume"
118,"Batch 7","Script U15","Accruals Overall GL Level Analysis"
119,"Batch 7","Script U16","Accruals Tabular Summary"
120,"Batch 7","Script U17","Open Deductions + Manual JVs"
121,"Batch 7","Script U18","Accruals Rate Vs Actual Rates"
122,"Batch 7","Script U19","Accruals- Inventory & POD working"
123,"Batch 5","Script 25 + A1","First expiry first out not complied"
124,"Batch 5","Script 130","Expired input materials used in production process"
125,"Batch 5","Script A5","Payment terms as per sales invoice is adverse than customer master"
126,"Batch 5","Script A7","Key fields missing in customer master with block status and balances if any"
127,"Batch 5","Script 37A","Blueprint pay terms Transaction"
128,"Batch 5","Script 124","Quality action on Expired Materials or Material without Expiry Date"
129,"Batch 5","Script 125","Return action on Expired Materials or Material without Expiry Date"
130,"Batch 5","Script 123","Blocked Customers with open balances"
131,"Batch 5","Script 9","Briquette receipt Quality analysis"
132,"Batch 5","Script 9A","Briquette Consumption analysis"
133,"Batch 5","Script 9D","Briquette consumtpion to steam production analysis"
134,"Batch 5","Script 9E","Briquette Price analysis"
135,"Batch 5","Script 15","Open balances with Blocked Vendors"
136,"Batch 5","Script 18","Blacklisted vendors"
137,"Batch 5","Script 29","Short shelf life of receipt materials"
138,"Batch 5","Script 30","Material Lead time analysis-DB"
139,"Batch 5","Script 126","BOM or Non-BOM- FG material"
140,"Batch 5","Script 128","Usage of expired BOM/Non BOM FG materials"
141,"Batch 5","Script 129","Usage of expired Non- BOM Consumable materials"
142,"Batch 8","Script 24 + A2","Open SO available and inventory exists"
143,"Batch 8","Script 81","Configuration setting - Database"
144,"Batch 8","Script 82","Configuration setting - Database"
145,"Batch 8","Script 84","File permission - Database"
146,"Batch 8","Script 85","Password settings"
147,"Batch 8","Script A3 + A4","Open SO available basis delivery date and inventory exists"
148,"Batch 8","Script WH1","Unusual consumption patterns"
149,"Batch 8","Script WH2","Repetitive movements"
150,"Batch 8","Script WH3","Compare scrap generation rates across shifts, employees, and production lines."
151,"Batch 8","Script WH4","Cross-check scrap sale transactions with employee connection to vendors"
152,"Batch 8","Script WH5","Input vs Output - Use statistical modeling to detect deviations in material consumption rates."
153,"Batch 8","Script WH6","Fake warranty / service records - Identify warranty claims or services without previous sale records"
154,"Batch 8","Script WH7","Return / service pattern - Identify the customers / materials / sales or service personnel with excessive claims"
155,"Batch 8","Script WH8","Stock Aging & Obsolescence - Perform ageing analysis to track unusually high obsolescence write-offs"
156,"Batch 8","Script WH9","Stock Aging & Obsolescence - Analyze the sale records of obsolete stock items to identify anomalous patterns"
157,"Batch 8","Script WH10","Fake dispatches and ghost shipments"
158,"Batch 9","Script CL1","Manipulation of inventory records and usage variances"
159,"Batch 9","Script CL2","Loss of inventory due to pilferage"
160,"Batch 9","Script CL3","Goods without Quality Check may be issued for production or dispatched in market"
161,"Batch 9","Script CL4","Expired material/Quality Rejected Material/Quality Hold material may be issued for production or dispatched in market"
162,"Batch 9","Script CL5","Expired material/Quality Rejected Material/Quality Hold material may be issued for production or dispatched in market"
163,"Batch 9","Script CL6","Inaccurate / Unauthorized receipt in excess of purchase order"
164,"Batch 9","Script CL7","Liability not created on receipt of goods / services"
165,"Batch 9","Script CL8","Inaccurate / Unauthorized receipt in excess of purchase order"
166,"Batch 9","Script CL9","Expired material/Quality Rejected Material/Quality Hold material may be issued for production or dispatched in market"
167,"Batch 9","Script CL10","Inaccurate issuance of material in the system"
168,"Batch 9","Script CL11","Expired material/Quality Rejected Material/Quality Hold material may be issued for production or dispatched in market"
169,"Batch 9","Script CL12","Expired material/Quality Rejected Material/Quality Hold material may be issued for production or dispatched in market"
170,"Batch 9","Script CL13","Loss of inventory due to pilferage"
171,"Batch 9","Script CL14","Excess consumption recorded without underlying approvals"
172,"Batch 9","Script CL15","Unauthorized changes to production order"
173,"Batch 9","Script CL16","Inaccurate inventory valuation"
174,"Batch 9","Script CL17","All relevant components of costs are not taken into for valuation of inventory at various stages resulting in inaccurate (under/over) valuation of inventory"
175,"Batch 9","Script CL18","Goods in transit are not timely/ accurately identified and accounted in the books"
176,"Batch 9","Script CL19","Incorrect inventory adjustment"
177,"Batch 9","Script CL20","Incorrect inventory adjustment"
178,"Batch 9","Script CL21","Incorrect inventory calculations"
179,"Batch 9","Script CL22","Unauthorised modification in material master"
180,"Batch 9","Script CL23","Inventory may be valued inaccurately"
181,"Batch 9","Script CL24","Inventory may be valued inaccurately"
182,"Batch 9","Script CL25","Inventory may be valued inaccurately"
183,"Batch 9","Script CL26","Inventory may be updated inaccurately"
184,"Batch 9","Script CL27","Inventory transactions may be accounted inaccurately"
185,"Batch 9","Script CL28","Unauthorised backdated posting of inventory transactions"
186,"Batch 9","Script CL29","Inaccurate inventory costing"
187,"Batch 9","Script CL30","Unauhorised access to BOM"
188,"Batch 9","Script CL31","Inaccurate inventory costing"
189,"Batch 9","Script CL32","Inaccurate inventory adjustments may be performed in system"
190,"Batch 10","Script AD1","Identify instances where sales order created but not yet executed"
191,"Batch 10","Script AD2","Identify instances where sales order blocked for credit limit check and manually released"
192,"Batch 10","Script AD3","Identify instances where there have been sales return of same material- same serial number at a price lower than the actual sales price"
193,"Batch 10","Script AD4","Identify instances where accounting not done against delivery documents"
194,"Batch 10","Script AD5","Identify instances where accounting not done against billing documents"
195,"Batch 10","Script AD6","Identify instances where sales return items written off"
196,"Batch 10","Script AD7","Identify instances where same material-same serial number sold at different price to same customer within same week"
197,"Batch 10","Script AD8","Identify instances where same material-same serial number sold at different price to diffeent customer within same week"
198,"Batch 10","Script AD9","Identify instances where there have been sales to customers whose balance was written off earlier"
199,"Batch 10","Script AD10","Identify instances where clearing was done from one customer account to other customer"
200,"Batch 10","Script AD11","Identify instances where customer to customer entries were posted"
201,"Batch 10","Script AD12","Identify instances where there is a gap in required delivery date and actual delivery date"
202,"Batch 10","Script AD13","Identify instances where sales orders are created without customer purchase orders and money has not been received or received after due date"
203,"Batch 10","Script AD14","Identify instances where the collection is overdue or received after due date with ageing and what is the percentage on overall population which gets delayed"
204,"Batch 11","Script OJK 1","Inadequate details compared in quotes / Inadequate quotes"
205,"Batch 11","Script OJK 2","Delay in procurement of requested material"
206,"Batch 11","Script OJK 3","Purchase without proper authorization"
207,"Batch 11","Script OJK 4","Violation of SOD"
208,"Batch 11","Script OJK 5","Unauthorized / Incomplete debit & credit notes"
209,"Batch 11","Script OJK 6","Weak password controls may compromise the passwords and allow unauthorised access to the system"
210,"Batch 11","Script OJK 7","No Back up schedule for critical devices may lead non availability of important data in case of disaster or disruption"
211,"Batch 11","Script OJK 8","Non storage of backup at offsite location, leading to non availability of in case the entire site is disrupted."
212,"Batch 11","Script OJK 9","Inadequate controls around handling issues and incidents"
213,"Batch 11","Script OJK 10","Inefficiency in identifying, documenting and responding to events that fall outside of normal operations."
214,"Batch 11","Script OJK 11","Access given to the third parties/vendors may get misutilize."
215,"Batch 11","Script OJK 12","Non implementation of antivirus solutions / firewalls leads to system infection and non availability of the systems"
216,"Batch 11","Script OJK 13","Unrestricted access can result in inaccurate/fictitious account codes being created"
217,"Batch 11","Script OJK 14","Non accounting of expenses on accrual basis"
218,"Batch 11","Script OJK 15","Non mapping / Incorrect mapping of related party in vendor"
219,"Batch 11","Script OJK 16","Non / Incorrect recording of related party transactions."
220,"Batch 11","Script OJK 17","Incorrect calculation and deduction of TDS"
221,"Batch 11","Script OJK 18","GST not charged/short/excess charged on invoicing."
222,"Batch 11","Script OJK 19","Rules for time of supply not followed. Invoices not considered in output tax computation"
223,"Batch 11","Script OJK 20","Unauthorized direct entries at GL level"
224,"Batch 11","Script OJK 21","Acquisition of fixed asset without approval or procurement in excess of budgeted / approved amount"
225,"Batch 11","Script OJK 22","Acquisition of fixed asset without comparable quotations leading to in competitive purchases"
226,"Batch 11","Script OJK 23","Work in progress (WIP) assets are are not recorded in correct period, value and accounting head or WIP are treated as fixed assets"
227,"Batch 11","Script OJK 24","Movement / transfer of assets from one location to another location are not monitored and recorded"
228,"Batch 11","Script OJK 25","Depreciation charges are not correctly calculated and recorded"
229,"Batch 11","Script OJK 26","Assets disposal are not made in terms of company policy. Assets may be sold, transferred or retire without management's knowledge"
230,"Batch 11","Script OJK 27","Impairment of assets is not considered / inaccurately considered for assets valuation"
231,"Batch 11","Script OJK 28","Valuation of intangible assets is not accurate / as per company policy and notes to accounts"
232,"Batch 11","Script OJK 29","Leave recording is not as per policy (Leave credited, availed, approved, balance)"
233,"Batch 11","Script OJK 30","In adequate controls around capturing of Attendance (in & out time)"
234,"Batch 11","Script OJK 31","Salary output (processed in house and provided by Third party consultant) is not as per employee master or latest Increment, and attendance records."
235,"Batch 11","Script OJK 32","Mismatch between salary processed, salary payable and actual salary disbursement (total / employee wise)"
236,"Batch 11","Script OJK 33","Incorrect recording of material receipt"
237,"Batch 11","Script OJK 34","Delay in recording of material receipt."
238,"Batch 11","Script OJK 35","Sub standard receipt of material"
239,"Batch 11","Script OJK 36","Incorrect/ inadequate recording of consumption- Fuel and packing"
240,"Batch 11","Script OJK 37","Incorrect recording / valuation of inventory cost"
241,"Batch 11","Script OJK 38","Material moved out without invoicing"
242,"Batch 11","Script OJK 39","Material issued without authorization."
243,"Batch 11","Script OJK 40","Issued material not recorded in SAP."
244,"Batch 11","Script OJK 41","Errors in recording of issues w.r.t. material, quantity, department, cost centre, etc."
245,"Batch 11","Script OJK 42","Material sent on RGP basis but not returned back or returned back with considerable delay"
246,"Batch 11","Script OJK 43","Non-compliance of GST rules."
247,"Batch 11","Script OJK 44","Compliances not identified and captured in the tracker"
248,"Batch 11","Script OJK 45","Changes in tax laws, regulations, including changes in tax rates, are not identified or accurately applied"
249,"Batch 11","Script OJK 46","Possibility of non compliance with applicable laws and regulations"
250,"Batch 11","Script OJK 47","Incorrect filing of returns and challans"
251,"Batch 11","Script OJK 48","Returns and challans are not filed correctly and as per the defined timelines"
252,"Batch 11","Script OJK 49","No availability of transactions log with the third party for Rewards transferred."
253,"Batch 11","Script OJK 50","Unauthorized change in master data"
254,"Batch 11","Script OJK 51","No controls over the usage of token"
255,"Batch 11","Script OJK 52","Pilferage of tokens printed and activated"
256,"Batch 11","Script OJK 53","Erroneous sales order in terms of quantity, pricing, pay terms, and taxation"
257,"Batch 11","Script OJK 54","Sale order not backed by customer confirmation"
258,"Batch 11","Script OJK 55","Sales to customers with poor credibility / in excess of defined credit limits requiring ultimate write-off of uncollectible accounts"
259,"Batch 11","Script OJK 56","Non compliance of credit policy."
260,"Batch 11","Script OJK 57","Unauthorized changes in customer credit limits"
261,"Batch 11","Script OJK 58","SO not billed leading to opportunity loss"
262,"Batch 11","Script OJK 59","Possibility of delayed and inaccurate invoicing of goods"
263,"Batch 11","Script OJK 60","Collections are recorded inaccurately."
264,"Batch 11","Script OJK 61","Delay in recording of collections"
265,"Batch 11","Script OJK 62","Unauthorized recording/ accounting of receipts from customers"
266,"Batch 11","Script OJK 63","Erroneously recorded sales return in terms of quantity, value, period or before receipt"
267,"Batch 12","Script PJK 1","PO raised continuously on the basis of Last PO , without inviting fresh quotation ."
268,"Batch 12","Script PJK 2","Goods purchase from OEM without any comparatives / benchmark"
269,"Batch 12","Script PJK 3","Material purchase without PO"
270,"Batch 12","Script PJK 4","PO split to avoid delegation of authority"
271,"Batch 12","Script PJK 5","Aged open PO's not closed"
272,"Batch 12","Script PJK 6","Adhoc purchases resulting into: - Non availing bulk discount - Bulk purchase of material having low consumption rate - Non availing lower market prices"
273,"Batch 12","Script PJK 7","Vendor registered with wrong details like bank details, PAN , GSTIN, TIN no. etc."
274,"Batch 12","Script PJK 8","Unauthorised / Incorrect changes in the vendor master"
275,"Batch 12","Script PJK 9","Excess / duplicate payment"
276,"Batch 12","Script PJK 10","Penalty payment in case of delay in MSME vendor payment"
277,"Batch 12","Script PJK 11","Advances are not adjusted or recovered timely"
278,"Batch 12","Script PJK 12","Non reconciliation of Vendor balances"
279,"Batch 12","Script PJK 13","Recurring purchase through one time / Miscellaneous vendor"
280,"Batch 12","Script PJK 14","Incorrect forecasting of funds (short term obligations not met , Minimum liquidity not defined etc.) may lead to inefficient fund management and have potential negative impact or opportunity loss due to excess fund remain not invested."
281,"Batch 12","Script PJK 15","Foreign currency loss/gain is not correctly recorded / accounted"
282,"Batch 12","Script PJK 16","No ITGC Policies and procedures to support organization’s commitment to perform business process activities in a consistent and objective manner."
283,"Batch 12","Script PJK 17","No segregation of duties (SOD) principle applied while granting the user rights"
284,"Batch 12","Script PJK 18","No restriction / unauthorized access to confidential information from outside the boundaries of the system and disclosure of confidential information"
285,"Batch 12","Script PJK 19","Inadequate planning in vehicle movements leading to excess cost to the company."
286,"Batch 12","Script PJK 20","No provision on consolidation of material dispatches to ensure cost optimization.Loadbility factor not reviewed."
287,"Batch 12","Script PJK 21","Price revision not approved by authorized personnel"
288,"Batch 12","Script PJK 22","Bad debts on account of weak monitoring of debtors"
289,"Batch 12","Script PJK 23","- Cash Expense is not incurred as per DOP"
290,"Batch 12","Script PJK 24","Difference/Mismatch in GST credit on invoices processed by AP system and on invoices recorded in GL."
291,"Batch 12","Script PJK 25","Input credit not considered from all data sources."
292,"Batch 12","Script PJK 26","Non/ delayed payment of GST liability"
293,"Batch 12","Script PJK 27","No Checker maker concept in posting JV."
294,"Batch 12","Script PJK 28","Unauthorized posting of JVs"
295,"Batch 12","Script PJK 29","Non-Compliance with CARO requirements (Tagging, Identification, assets details, location etc.)"
296,"Batch 12","Script PJK 30","Disposal of fixed asset without comparable quotations leading to in competitive disposal"
297,"Batch 12","Script PJK 31","Dummy / Ghost employees are created in the Employee master database"
298,"Batch 12","Script PJK 32","Employees master are not updated for all new joiners"
299,"Batch 12","Script PJK 33","Unauthorized creation or alteration of Employees master"
300,"Batch 12","Script PJK 34","Short / excess deduction of TDS"
301,"Batch 12","Script PJK 35","Employee Benefit obligation adjustments, including unrecognised service cost or actuarial gains and losses, are: . Inaccurately calculated / recorded . Not recorded for all benefit plans . Recorded for benefit plans that are not the obligation of the entity"
302,"Batch 12","Script PJK 36","Inadequate controls around reimbursements"
303,"Batch 12","Script PJK 37","Reimbursement are erroneously made and not as per the policy."
304,"Batch 12","Script PJK 38","Review of slow moving / non-moving material not carried out"
305,"Batch 12","Script PJK 39","Obsolete material lying at stores"
306,"Batch 12","Script PJK 40","Absence of action plan for alternate usage / disposal of obsolete material"
307,"Batch 12","Script PJK 41","Reorder level (ROL) for critical/ mandatory item is not defined"
308,"Batch 12","Script PJK 42","Unauthorized Scrap sales"
309,"Batch 12","Script PJK 43","Scrap sold at lower price."
310,"Batch 12","Script PJK 44","Non Accounting of Scrap sales"
311,"Batch 12","Script PJK 45","Possibility of non compliance with applicable laws and regulations."
312,"Batch 12","Script PJK 46","No Feasibility or Cost benefit analysis done before filling the claim"
313,"Batch 12","Script PJK 47","Incorrect target audience selection for marketing campaign"
314,"Batch 12","Script PJK 48","Non analysis of the Cost & benefit for a particular Marketing Activity"
315,"Batch 12","Script PJK 49","ROI for marketing activities not computed"
316,"Batch 12","Script PJK 50","Non compliance with applicable SEBI / RBI regulations and norms of other regulators"
317,"Batch 12","Script PJK 51","Unauthorized / Dummy customer creation"
318,"Batch 12","Script PJK 52","Customer master details are entered inaccurately"
319,"Batch 12","Script PJK 53","Unauthorized additions/ modifications to customer master"
320,"Batch 12","Script PJK 54","Duplicate/inactive customer codes exist"
321,"Batch 12","Script PJK 55","Security Deposit not collected as per agreement"
322,"Batch 12","Script PJK 56","Inaccurate prices in the price master (including discounts, rebates and commissions)"
323,"Batch 12","Script PJK 57","Supplementary agreements or credit notes exist that are not known to accounting leads to dispute between customer books and companies books"
324,"Batch 12","Script PJK 58","Aged Customer balances are not reviewed"
325,"Batch 12","Script PJK 59","Erroneously issued credit notes or credit notes pending for issue to customers"
326,"Batch 12","Script PJK 60","Provision for doubtful debt has not been accurately estimated or created"
327,"Batch 12","Script PJK 61","Receivables have been written off incorrectly"
328,"Batch 12","Script PJK 62","No periodic reconciliation & Balance conformation obtained from customer"
329,"Batch 13","Script AG01","Price Variance (Com - 1) - Same Date, Same Week, Same Month"
330,"Batch 13","Script AG02","Price Variance (Com - 2) - Same Date, Same Week, Same Month"
331,"Batch 13","Script AG03","Price Variance (Com - 3) - Same Date, Same Week, Same Month"
332,"Batch 13","Script AG04","Price Variance (Com - 4) - Same Date, Same Week, Same Month"
333,"Batch 13","Script AG05","Sales Return Pattern Analysis"
334,"Batch 13","Script AG06","Duplicate Customer and Credit Limit Groups"
335,"Batch 13","Script AG07","Unallocated Sales Returns"
336,"Batch 13","Script AG08","One Time High Value Material Purchase"
337,"Batch 13","Script AG09","All sales made net at 0"
338,"Batch 13","Script AG10","Incorrect Customer Channel Mapped"
339,"Batch 13","Script AG11","Unusual Customer Channel"
340,"Batch 13","Script AG12","Unusual Distribution Channel"
341,"Batch 13","Script AG13","Sold to Party & Ship to Party Exceptions"
342,"Batch 13","Script AG14","Dormant Customer Analysis"
343,"Batch 13","Script AG15","One Time Transaction with new customer within short period of Creation Date"
344,"Batch 13","Script AG16","Seasonal Sales Trend"
345,"Batch 14","Script PS01","Rate comparison analysis between Freight Master and STO Dump"
